File Name,Version,Project,License,Comments
com.liferay.document.library.repository.cmis.impl.jar!cxf-rt-bindings-xml.jar,2.7.11,Apache CXF Runtime XML Binding,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!cxf-rt-core.jar,2.7.11,Apache CXF Runtime Core,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!cxf-rt-databinding-jaxb.jar,2.7.11,Apache CXF Runtime JAXB DataBinding,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!cxf-rt-frontend-jaxws.jar,2.7.11,Apache CXF Runtime JAX-WS Frontend,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!cxf-rt-frontend-simple.jar,2.7.11,Apache CXF Runtime Simple Frontend,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!cxf-rt-transports-http.jar,2.7.11,Apache CXF Runtime HTTP Transport,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!cxf-rt-ws-addr.jar,2.7.11,Apache CXF Runtime WS Addressing,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!cxf-rt-ws-policy.jar,2.7.11,Apache CXF Runtime WS Policy,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.cmis.impl.jar!neethi.jar,3.0.3,Apache Neethi,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.search.jar!lucene-analyzers-common.jar,5.2.1,Lucene Common Analyzers,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.search.jar!lucene-core.jar,5.2.1,Lucene Core,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.search.jar!lucene-queries.jar,5.2.1,Lucene Queries,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.search.jar!lucene-queryparser.jar,5.2.1,Lucene QueryParsers,"The Apache Software License, Version 2.0",
com.liferay.document.library.repository.search.jar!lucene-sandbox.jar,5.2.1,Lucene Sandbox,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.lists.service.jar!poi.jar,3.15,Apache POI,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!accessors-smart.jar,1.1,ASM based accessors helper used by json-smart,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!archaius-core.jar,0.4.1,com.netflix.archaius:archaius-core,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!asm.jar,5.0.3,ASM Core,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!commons-configuration.jar,1.8,Commons Configuration,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!HdrHistogram.jar,2.1.9,HdrHistogram,"Public Domain, per Creative Commons CC0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!hystrix-core.jar,1.5.11,hystrix-core,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!jodd-core.jar,3.8.6,Jodd Core,The BSD 2-Clause License,
com.liferay.dynamic.data.mapping.data.provider.impl.jar!jodd-http.jar,3.8.6,Jodd HTTP client,The BSD 2-Clause License,
com.liferay.dynamic.data.mapping.data.provider.impl.jar!json-path.jar,2.2.0,Json Path,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!json-smart.jar,2.2.1,JSON Small and Fast Parser,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.data.provider.impl.jar!rxjava.jar,1.2.0,rxjava,"The Apache Software License, Version 2.0",
com.liferay.dynamic.data.mapping.expression.jar!antlr4-runtime.jar,4.3,ANTLR 4 Runtime,The BSD License,
com.liferay.dynamic.data.mapping.expression.jar!org.abego.treelayout.core.jar,1.0.1,abego TreeLayout Core,"BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",
com.liferay.dynamic.data.mapping.form.values.query.jar!antlr4-runtime.jar,4.3,ANTLR 4 Runtime,The BSD License,
com.liferay.dynamic.data.mapping.form.values.query.jar!org.abego.treelayout.core.jar,1.0.1,abego TreeLayout Core,"BSD 3-Clause ""New"" or ""Revised"" License (BSD-3-Clause)",
com.liferay.dynamic.data.mapping.io.jar!poi.jar,3.15,Apache POI,"The Apache Software License, Version 2.0",
com.liferay.fragment.api.jar!jsoup.jar,1.10.2,jsoup Java HTML Parser,The MIT License,
com.liferay.fragment.entry.processor.editable.jar!jsoup.jar,1.10.2,jsoup Java HTML Parser,The MIT License,
com.liferay.fragment.entry.processor.portlet.jar!org.jsoup.jar,1.10.2.LIFERAY-PATCHED-3,org.jsoup,LGPL 2.1,
com.liferay.fragment.impl.jar!jsoup.jar,1.10.2,jsoup Java HTML Parser,The MIT License,
com.liferay.fragment.service.jar!jsoup.jar,1.10.2,jsoup Java HTML Parser,The MIT License,
com.liferay.frontend.css.rtl.servlet.jar!annotations.jar,2.0.3,FindBugs-Annotations,GNU Lesser Public License,
com.liferay.frontend.css.rtl.servlet.jar!ph-commons.jar,6.2.4,ph-commons,Apache 2,
com.liferay.frontend.css.rtl.servlet.jar!ph-css.jar,4.1.0,ph-css,Apache 2,
com.liferay.frontend.css.rtl.servlet.jar!slf4j-api.jar,1.7.10,SLF4J API Module,MIT License,
com.liferay.frontend.js.loader.modules.extender.jar!json.jar,20140107,JSON in Java,The JSON License,
com.liferay.frontend.js.loader.modules.extender.jar!npm-semver.jar,1.0.0,com.github.yuchi#npm-semver;1.0.0,"GNU Lesser General Public License, version 2.1",
com.liferay.frontend.js.minifier.jar!closure-compiler.jar,v20180204,Closure Compiler,"The Apache Software License, Version 2.0",
com.liferay.frontend.js.minifier.jar!yuicompressor.jar,2.4.7,yui compressor,BSD License,
com.liferay.html.preview.processor.image.jar!flying-saucer-core.jar,9.1.7,Flying Saucer Core Renderer,"GNU Lesser General Public License (LGPL), version 2.1 or later",
com.liferay.html.preview.processor.image.jar!jsoup.jar,1.10.2,jsoup Java HTML Parser,The MIT License,
com.liferay.imageio.plugins.jar!common-image.jar,3.3.2,TwelveMonkeys :: Common :: Image,The BSD License,
com.liferay.imageio.plugins.jar!common-io.jar,3.3.2,TwelveMonkeys :: Common :: IO,The BSD License,
com.liferay.imageio.plugins.jar!common-lang.jar,3.3.2,TwelveMonkeys :: Common :: Language support,The BSD License,
com.liferay.imageio.plugins.jar!imageio-bmp.jar,3.3.2,TwelveMonkeys :: ImageIO :: BMP plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-core.jar,3.3.2,TwelveMonkeys :: ImageIO :: Core,The BSD License,
com.liferay.imageio.plugins.jar!imageio-hdr.jar,3.3.2,TwelveMonkeys :: ImageIO :: HDR plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-icns.jar,3.3.2,TwelveMonkeys :: ImageIO :: ICNS plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-iff.jar,3.3.2,TwelveMonkeys :: ImageIO :: IFF plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-jpeg.jar,3.3.2,TwelveMonkeys :: ImageIO :: JPEG plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-metadata.jar,3.3.2,TwelveMonkeys :: ImageIO :: Metadata,The BSD License,
com.liferay.imageio.plugins.jar!imageio-pcx.jar,3.3.2,TwelveMonkeys :: ImageIO :: PCX plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-pict.jar,3.3.2,TwelveMonkeys :: ImageIO :: PICT plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-pnm.jar,3.3.2,TwelveMonkeys :: ImageIO :: PNM plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-psd.jar,3.3.2,TwelveMonkeys :: ImageIO :: PSD plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-sgi.jar,3.3.2,TwelveMonkeys :: ImageIO :: SGI plugin,The BSD License,
com.liferay.imageio.plugins.jar!imageio-tga.jar,3.3.2,TwelveMonkeys :: ImageIO :: TGA plugin,The BSD License,
